id,name,kcal,fat,sat_FAT,trans_FAT,cholesterol,sodium,sugars,chabo,protein,pro_id
0,봄 딸기 우유 크루아상,485,36,9,0.5,60,330,31,34,6,9300000003922
1,쿠키 블루베리 잼 머핀,450,23,3,0.5,60,550,42,55,5,9300000002784
2,리얼 블루베리 베이글,257,1,0.4,0,0,580,8,52,10,9300000003334
3,리얼 치즈 베이글,286,3.7,1.9,0.1,6,518,6,51,12,9300000003335
4,바질 토마토 크림치즈 베이글,553,25,14,0.7,46,827,12,70,13,9300000003223
5,앙녹차 베이글,510,14,10,0.5,45,740,30,84,12,9300000003471
6,가나슈 품은 초콜릿 스콘,485,32,9,0.5,85,470,27,43,6,9300000003612
7,미니 클래식 스콘,461,25,14,0.5,61,380,8,56,7,5110001099
8,클래식 스콘,468,32,19,0.5,105,435,17,41,4,9300000001557
9,트리플 미니 스콘,468,22,13,0.5,69,487,16,58,8,9300000003041
10,거문 오름 크루아상,391,27,14,0,113,367,16,30,7,9300000001361
11,리프 파이,269,12,7,0.3,23,195,12,37,3,9300000000887
12,매콤 소시지 불고기 베이크,246,14,6,0,42,533,6,20,10,9300000002227
13,밤콩달콩 두유 브레드,411,5,0.9,0,0,485,27,80,11,9300000003522
14,뺑 오 쇼콜라,350,28,15,0.5,35,285,7,21,4,9300000002431
15,스모크드 소시지 브레드,520,39,5,0.5,55,985,7,28,14,9300000002445
16,연유 밀크모닝,440,23,11,0.5,30,540,23,50,8,9300000003175
17,오렌지 카라멜 데니핀,395,21,7,0.5,60,270,24,46,5,9300000002930
18,오름 치즈 케이츄리,550,40,20,0.6,160,513,33,40,8,9300000003520
19,올래 미니 크루아상,315,23,14,0.5,25,230,18,24,3,9300000002848
20,우유 품은 브리오쉬,330,19,11,0.4,54,144,12,33,7,9300000003813
21,주상절리 파이,447,34,21,0.5,18,480,23,40,7,9300000002489
22,크림치즈 브리오슈 보스톡,505,36,7,0.5,150,365,25,38,7,9300000002931
23,타이거 바브카,510,22,9,0.5,45,320,35,67,11,9300000003876
24,하트 파이,466,19,10,0.5,36,501,16,64,9,5110006070
25,한 입에 쏙 치즈 꿀 볼,280,7,6,0.5,25,700,9,45,9,9300000003042
26,봄 딸기 초콜릿 스윗박스,480,34,15,0.5,220,220,37,38,6,9300000003953
27,7 레이어 가나슈 케이크,578,38,21,0.4,95,165,38,52,7,9300000001179
28,The 촉촉 초콜릿 생크림 케이크,463,31,17,0.4,87,146,26,39,7,9300000003393
29,라즈베리 쇼콜라,535,37,12,0.5,190,95,41,44,6,9300000002929
30,레드벨벳 크림치즈 케이크,510,38,15,0.6,135,425,36,37,4,5110007192
31,마스카포네 티라미수 케이크,476,32,19,0.7,200,100,28,39,8,9300000001907
32,밀당 에그 타르트,380,30,6,0.5,130,300,16,24,4,9300000003038
33,번트 치즈 케이크,825,60,30,0.6,330,640,59,60,11,9300000002534
34,부드러운 고구마 생크림 케이크,415,29,15,0.8,120,160,35,36,2,9300000003782
35,부드러운 생크림 카스텔라,565,33,15,0.6,169,194,36,57,10,5110007181
36,부드러운 티라미수 롤,443,25,14,0.5,193,162,35,47,8,9300000002926
37,블루베리 쿠키 치즈 케이크,985,53,32,1.2,280,220,68,114,13,9300000001376
38,슈크림 가득 바움쿠헨,565,40,20,0.5,290,230,43,44,7,9300000002448
39,클라우드 치즈 케이크,550,42,25,0.9,108,435,26,37,7,9300000000132
40,티라미수 타르트,610,39,8,0.5,120,250,57,58,7,9300000003874
41,헤이즐넛 브라우니,340,18,4,0.5,0,35,26,41,4,9300000003470
42,호두 당근 케이크,942,66,23,0.9,180,309,46,72,15,5110007147
43,흑임자 크림 케이크,385,29,7,0.5,120,100,26,26,5,9300000003875
44,당근 현무암 케이크,304,20,13,0.5,144,309,32,27,4,9300000001055
45,백년초콜릿 크런치 케이크,855,65,32,1.1,175,280,60,61,6,9300000002856
46,새코롬 돌코롬 한라봉 케이크,380,20,9,0.5,180,105,43,44,6,9300000002857
47,(제주)제주 녹차 생크림 롤,547,31,15,0.6,345,200,57,58,9,9300000003468
48,(제주)제주 땅콩 생크림 롤,570,36,15,0.6,340,200,51,54,8,9300000003469
49,블루베리 쿠키 치즈 케이크,390,29,7,0.5,120,310,27,28,4,9300000000913
50,세븐 레이어 가나슈 케이크,433,29,16,0.3,76,112,27,37,6,9300000002065
51,청담스타 얼 그레이 밀크 케이크,310,25,13,0.4,110,60,20,17,4,9300000001521
52,청담스타 오 허니 케이크,348,24,14,0.4,227,67,28,28,5,9300000000882
53,크레이프 에멘탈 치즈 케이크,330,26,19,0.6,126,254,18,18,5,9300000002064
54,피칸 브라우니,465,28,16,0.5,120,115,48,49,4,9300000002173
55,헤븐리 티라미수,305,12,11,0.3,82,135,27,30,3,9300000000878
56,콥 & 화이트 샐러드 밀 박스,198,10,2.3,0.2,180,540,4,12,15,9300000003832
57,봄 딸기 카스텔라 샌드,495,29,15,0.6,270,220,49,50,8,9300000003921
58,커리 치킨 샐러드 밀 박스,182,10,1.6,0,55,610,3,11,12,9300000003261
59,B.E.L.T. 샌드위치,450,25,7,0,52,924,7,51,19,9300000000689
60,B.L.T. 샌드위치,325,12,6,0.5,35,999,12,43,11,9300000003877
61,단호박 에그 샌드위치,334,14,4.3,0.1,45,698,7,41,11,9300000000036
62,돌코롬 쫍지롱 와플 샌드,805,52,13,0.6,185,480,35,69,15,9300000003525
63,리코타 치즈 바게트 샌드위치,385,19,14,0.6,45,900,12,40,14,9300000003407
64,바비큐 치킨 치즈 치아바타,320,8,3.8,0,38,859,5,42,20,5110003062
65,베이컨 치즈 토스트,404,28,8,0.2,87,551,7,24,14,9300000002178
66,브렉퍼스트 잉글리쉬 머핀,355,19,7,0.5,50,810,2,29,17,9300000002435
67,에그 베이컨 브리오슈 밀 박스,485,25,7,0.5,200,820,7,38,26,9300000003229
68,에그에그 샌드위치,370,22,8,0.4,530,800,9,28,15,9300000001927
69,올라 쿠바노 샌드위치,370,15,11,0.5,65,990,5,41,18,9300000003680
70,제주 녹차 베이컨 치즈 베이글,470,29,16,0.5,74,990,8,59,22,9300000001387
71,제주 흑돼지 아보카도 샌드위치,360,24,19,0.5,35,960,6,23,13,9300000002490
72,크랜베리 치킨 치즈 샌드위치,416,20,4.5,0.1,34,774,11,40,19,9300000001117
73,트리플 치즈 크로크무슈,475,23,13,0.5,50,995,4,41,26,9300000003524
74,플랜트 함박&파스타 밀 박스,380,15,4.4,0,55,620,5,46,16,9300000003528
75,플랜트 햄&루꼴라 샌드위치,321,9,1.3,0.1,0,981,8,50,10,9300000003526
76,햄&루꼴라 올리브 샌드위치,388,16,5,0.2,27,658,3,42,19,9300000001777
77,트러플 머쉬룸 수프,168,12,9,0.1,8,419,3,12,3,9900000000680
78,현미 크림 수프,164,12,7,0.3,23,350,5,10,4,9900000000084
79,사과 가득 핸디 젤리,80,0,0,0,0,20,18,20,0,9300000001911
80,제주 자연 청 세트,1245,0,0,0,0,30,124,309,3,9300000001672
81,하루 한 컵 RED,65,0,0,0,0,27.6,10.6,15.1,0.7,5110009051
82,한 입에 쏙 우리 과일칩(딸기&사과),35,0,0,0,0,5,6,8,0,9300000002408
83,한라봉 가득 핸디 젤리,75,0,0,0,0,15,18,19,0,9300000001912
84,New 밀크 푸딩,125,6,4.5,0,20,55,11,12,5,9300000002619
85,New 초콜릿 푸딩,190,12,7,0,45,40,13,16,6,9300000002620
86,오가닉 그릭 요거트 플레인,93.5,4.6,3.2,0,20.3,63.3,4.5,7.9,5.1,9300000003231
87,오가닉 프로틴 그릭 요거트 & 그래놀라,246,10,4.2,0.5,25,84,16,26,13,9300000003232
88,러브어스 초콜릿포켓백,502,30,16,0,0,4,34,48,10,9300000003966
89,로고 코인 다크 초콜릿 (골드),255,19,13,0,0,0,13,16,5,5650003321
90,로고 코인 밀크 초콜릿 (실버),256,14,9,0,6,50,30,30,4,5650003322
91,로스티드 아몬드 앤 초콜릿,295,15,6,0.3,18,80,28,37,3,5650003325
92,리저브 초콜릿 세트,181,9,6,0,5,18,19,23,2,9300000001610
93,제주 오름 초콜릿 세트,570,32,21,0,16,37,57,63,7,9300000001257
94,다크 초콜릿 카우보이 쿠키,465,30,12,0.3,48,465,29,44,5,5650003319
95,오도독 건강한 넛&블루베리,177,13,1.6,0,0,0,11,9,6,5650003312
96,청크 초콜릿 쿠키 틴 세트,212,12,6,0.5,30,143,22,24,2,9300000002618
97,초콜릿 월넛 돔 쿠키,441,29,12,0.2,33,300,34,40,5,9300000001785
98,현무암 러스크,185,10,9,0,3,160,12,18,3,9300000001199
99,화이트 초콜릿 카우보이 쿠키,450,28,13,0.3,43,480,31,44,5,5650003320
100,다크 초콜릿 마카롱,162,8,3.2,0,9,16,16,20,3,9300000001924
101,바닐라 마카롱,141,7,1.8,0.1,4,12,14,16,3,5110008078
102,블루베리 마카롱,154,9,1.6,0,6,30,17,17,3,5110008075
103,스트로베리 마카롱,137,7,1.6,0.1,5,11,14,16,3,9300000001318
104,New 한 입에 쏙 고구마,265,0,0,0,0,35,22,63,3,9300000002132
105,더블 치즈 베이글 칩,295,12,6,0,15,240,14,39,6,9300000002517
106,라이스 칩(블루베리 잼),140,0,0,0,0,72,0,31,3,9300000001894
107,베어리스타 오가닉 젤리,210,0.2,0,0,0,182,35,52,0,9300000002410
108,씨프렌즈 캔디,196,0,0,0,0,5,34,49,0,9300000001058
109,아몬드 토피넛 캔디,316,20,9,0.7,23,75,33,33,1,9300000002621
110,우리 흑米 카스텔라,630,14,6,0,506,163,41,110,16,9300000002617
111,우리米 카스텔라,610,10,4.3,0,578,113,50,116,14,9300000002127
112,유산균 옐로푸드 쉐이크,130,3,0,0,2,115,11,23,6,9300000003249
113,자일리톨 캔디 크리스탈 레몬,66,0,0,0,0,0,0,26,0,9300000002556
114,자일리톨 캔디 크리스탈 민트,65,0,0,0,0,0,0,9,0,9300000002727
115,카라멜 와플,300,12,6,0,10,150,20,46,2,5650003327
116,콜라겐 레드푸드 쉐이크,145,3,1,0,4,110,11,22,9,9300000003250
117,큐브 라이스 카스텔라,129,2.5,0,0,70,22,16,24,3,9300000002726
118,프로틴 블랙푸드 쉐이크 ,145,3.2,0,0,2,260,11,16,13,9300000003251
119,한입에 쏙 공주 알밤,120,0.2,0,0,0,0.6,2.2,27,2.7,9300000002000
120,유기농 아이스크림 바닐라,203,13,8,0,16,51,17,18,3,5110009050
121,유기농 아이스크림 초콜릿,226,12,8,0.4,40,42,22,26,4,9300000000810
122,자바 칩 유기농 아이스크림 바닐라,255,16,8,0,16,58,22,24,4,9900000000034
123,자바 칩 유기농 아이스크림 초콜릿,278,15,8,0.4,40,49,27,32,5,9900000000171
124,넛츠 바닐라 아포가토,310,13,8,0,16,51,17,19,6,9900000000033
125,넛츠 초콜릿 아포가토,333,12,8,0.4,40,42,22,27,7,9900000000170
126,바닐라 아포가토,208,13,8,0,16,51,17,19,3,9900000000031
127,자바 칩 바닐라 아포가토,260,16,8,0,16,58,22,25,4,9900000000032
128,자바 칩 초콜릿 아포가토,283,15,8,0.4,40,49,27,33,5,9900000000169
129,초콜릿 아포가토,231,12,8,0.4,40,42,22,27,4,9900000000168
130,봄 딸기 초콜릿 스윗박스,480,34,15,0.5,220,220,37,38,6,9300000003953
131,봄 딸기 우유 크루아상,485,36,9,0.5,60,330,31,34,6,9300000003922
132,봄 딸기 카스텔라 샌드,495,29,15,0.6,270,220,49,50,8,9300000003921
133,스마일 쿠키 초콜릿,736,48,29,0.7,166,179,41,68,8,9300000002182
134,스마일 쿠키 라즈베리,661,41,28,0.8,160,177,41,66,7,9300000002183
135,피칸 브라우니,465,28,16,0.5,120,115,48,49,4,9300000002173
136,크레이프 에멘탈 치즈 케이크,330,26,19,0.6,126,254,18,18,5,9300000002064
137,세븐 레이어 가나슈 케이크,433,29,16,0.3,76,112,27,37,6,9300000002065
138,청담스타 얼 그레이 밀크 케이크,310,25,13,0.4,110,60,20,17,4,9300000001521
139,청담스타 오 허니 케이크,348,24,14,0.4,227,67,28,28,5,9300000000882
140,헤븐리 티라미수,305,12,11,0.3,82,135,27,30,3,9300000000878
141,블루베리 쿠키 치즈 케이크,390,29,7,0.5,120,310,27,28,4,9300000000913
142,B.L.T. 샌드위치,325,12,6,0.5,35,999,12,43,11,9300000003877
143,콥 & 화이트 샐러드 밀 박스,198,10,2.3,0.2,180,540,4,12,15,9300000003832
144,올라 쿠바노 샌드위치,370,15,11,0.5,65,990,5,41,18,9300000003680
145,리코타 치즈 바게트 샌드위치,385,19,14,0.6,45,900,12,40,14,9300000003407
146,트리플 치즈 크로크무슈,475,23,13,0.5,50,995,4,41,26,9300000003524
147,플랜트 햄&루꼴라 샌드위치,321,9,1.3,0.1,0,981,8,50,10,9300000003526
148,플랜트 함박&파스타 밀 박스,380,15,4.4,0,55,620,5,46,16,9300000003528
149,커리 치킨 샐러드 밀 박스,182,10,1.6,0,55,610,3,11,12,9300000003261
150,에그 베이컨 브리오슈 밀 박스,485,25,7,0.5,200,820,7,38,26,9300000003229
151,B.C.L.T. 샌드위치 밀 박스,355,12,4.5,0,45,600,5,42,19,9300000003397
152,브렉퍼스트 잉글리쉬 머핀,355,19,7,0.5,50,810,2,29,17,9300000002435
153,에그에그 샌드위치,370,22,8,0.4,530,800,9,28,15,9300000001927
154,베이컨 치즈 토스트,404,28,8,0.2,87,551,7,24,14,9300000002178
155,햄&루꼴라 올리브 샌드위치,388,16,5,0.2,27,658,3,42,19,9300000001777
156,바비큐 치킨 치즈 치아바타,320,8,3.8,0,38,859,5,42,20,5110003062
157,B.E.L.T. 샌드위치,450,25,7,0,52,924,7,51,19,9300000000689
158,단호박 에그 샌드위치,334,14,4.3,0.1,45,698,7,41,11,9300000000036
159,크랜베리 치킨 치즈 샌드위치,416,20,4.5,0.1,34,774,11,40,19,9300000001117
160,쉬림프 코코넛 샐러드 밀 박스,147,7,5,0,60,330,5,10,11,9300000002304
161,현미 크림 수프,164,12,7,0.3,23,350,5,10,4,9900000000084
162,트러플 머쉬룸 수프,168,12,9,0.1,8,419,3,12,3,9900000000680
163,우리나라 옥고감,260,0,0,0,0,0,0,56,7,5110009042
164,헤이즐넛 브라우니,340,18,4,0.5,0,35,26,41,4,9300000003470
165,플랜트 햄&루꼴라 샌드위치,321,9,1.3,0.1,0,981,8,50,10,9300000003526
166,플랜트 함박&파스타 밀 박스,380,15,4.4,0,55,620,5,46,16,9300000003528
167,담백한 플레인 베이글,250,1,0.4,0,0,609,6,51,9,9300000003067
168,밤콩달콩 두유 브레드,411,5,0.9,0,0,485,27,80,11,9300000003522
169,베어리스타 오가닉 젤리,210,0.2,0,0,0,182,35,52,0,9300000002410
170,(제주)제주 녹차 생크림 롤,547,31,15,0.6,345,200,57,58,9,9300000003468
171,(제주)제주 땅콩 생크림 롤,570,36,15,0.6,340,200,51,54,8,9300000003469
172,오름 치즈 케이츄리,550,40,20,0.6,160,513,33,40,8,9300000003520
173,앙녹차 베이글,510,14,10,0.5,45,740,30,84,12,9300000003471
174,거문 오름 크루아상,391,27,14,0,113,367,16,30,7,9300000001361
175,돌코롬 쫍지롱 와플 샌드,805,52,13,0.6,185,480,35,69,15,9300000003525
176,새코롬 돌코롬 한라봉 케이크,380,20,9,0.5,180,105,43,44,6,9300000002857
177,백년초콜릿 크런치 케이크,855,65,32,1.1,175,280,60,61,6,9300000002856
178,당근 현무암 케이크,304,20,13,0.5,144,309,32,27,4,9300000001055
179,제주 녹차 베이컨 치즈 베이글,470,29,16,0.5,74,990,8,59,22,9300000001387
180,제주 흑돼지 아보카도 샌드위치,360,24,19,0.5,35,960,6,23,13,9300000002490
181,올래 미니 크루아상,315,23,14,0.5,25,230,18,24,3,9300000002848
182,주상절리 파이,447,34,21,0.5,18,480,23,40,7,9300000002489
183,현무암 러스크,185,10,9,0,3,160,12,18,3,9300000001199
184,제주 오름 초콜릿 세트,570,32,21,0,16,37,57,63,7,9300000001257
185,제주 자연 청 세트,1245,0,0,0,0,30,124,309,3,9300000001672
